PERFORMANCE MARKETING CLIENT BRIEF,,,
Date: Sun Jul 13 2025,,,
,,,
PROJECT DETAILS,,,
Project Name:,,,
Campaign Type:,Ecommerce / Lead Generation,,
Launch Date:,,,
Budget:,,,
Estimated Timeline:,5 days to launch,,
Campaign Objective:,Purchase / Lead Generation / Brand Awareness,,
Primary KPI:,CPO/CPL/ROAS/CPA,,
CONTACT DETAILS,,,
Client Name:,,,
Contact Email:,,,
Brand/Product:,,,
Account Manager:,,,
Business Manager Access:,Pending/Granted,,
Website URL:,,,
Facebook Page URL:,,,
,,,
PRODUCT DETAILS,,,
Product Brief:,,,
Client Objectives:,,,
Competitors Names:,,,
Blockers/Challenges:,,,
Requirements from Client:,,,
,,,
UNIT ECONOMICS & KEY METRICS (Required for Scenario Analysis),,,
ECOMMERCE METRICS,,,
Average Order Value (AOV):,$50,Average revenue per purchase,
Profit Margin %:,60%,Gross profit margin on products,
Current ROAS:,0.9,Return on Ad Spend,
Current CPP (Cost Per Purchase):,$40,Current cost to acquire a customer,
Target ROAS:,3,Desired return on ad spend,
Website Conversion Rate:,3%,Website visitors to purchases,
,,,
LEAD GENERATION METRICS,,,
Lead Value (LTV):,$0,Lifetime value per lead/customer,
Close Rate %:,0%,Leads to customers conversion rate,
Current CPL (Cost Per Lead):,$0,Current cost to generate a lead,
Target CPL:,$0,Desired cost per lead,
Form Conversion Rate:,0%,Landing page visitors to form fills,
Sales Cycle (Days):,0,Average days from lead to customer,
,,,
GENERAL PERFORMANCE METRICS,,,
Daily Budget:,$100,Starting daily ad spend,
CTR (Click-Through Rate):,1%,Ad clicks / impressions,
CPC (Cost Per Click):,$2,Cost per click,
CPM (Cost Per 1000 Impressions):,$40,Cost per thousand impressions,
,,,
,,,
,,,
CUSTOMER DETAILS,,,
Target Audience:,,,
Buyer Personas:,,,
General Selling Points:,,,
Unique Selling Propositions (USPs):,,,
Competitors USPs:,,,
Pain Points for Audience:,,,
Audience Insights Available:,Yes/No,,
Previous Audience Data:,Available/Not Available,,
,,,
PERFORMANCE MARKETING CHECKLIST,,,
Item,Status,Notes,Priority
FB Page Review & Analysis,Pending,,High
Website Technical Review,Pending,,High
Business Manager Access,Pending,,Critical
Previous Performance History Analysis,Pending,,High
Pixel Installation Check,Pending,,Critical
Catalog Setup Verification,Pending,,Medium
Landing Page Analysis,Pending,,High
Thank You Page Setup,Pending,,Medium
Creative Assets Collection (Images),Pending,,High
Creative Assets Collection (Videos),Pending,,Medium
Ad Account Analysis,Pending,,High
Audience Preparation,Pending,,High
Creatives Quality Check,Pending,,Medium
,,,
ANALYSIS & INSIGHTS,,,
Historical Performance Summary:,,,
Top Performing Audiences:,,,
Best Performing Creative Types:,,,
Seasonal Trends:,,,
Conversion Rate Optimization Opportunities:,,,
Recommended Budget Allocation:,,,
Projected Performance Targets:,,,